id,time,value
1,1.1,0.0115
1,1.3,0.0231
1,1.5,0.0348
1,1.7,0.0468
1,1.9,0.0591
1,2.1,0.0719
1,2.3,0.0852
1,2.5,0.0992
1,2.7,0.114
1,2.9,0.1298
1,3.1,0.1343
1,3.3,0.1361
1,3.5,0.138
1,3.7,0.1399
1,3.9,0.1419
1,4.1,0.1439
1,4.3,0.146
1,4.5,0.1482
1,4.7,0.1504
1,4.9,0.1527
1,5.1,0.1551
1,5.3,0.1576
1,5.5,0.1601
1,5.7,0.1627
1,5.9,0.1654
1,6.1,0.1682
1,6.3,0.171
1,6.5,0.174
1,6.7,0.1771
1,6.9,0.1803
1,7.1,0.1836
1,7.3,0.187
1,7.5,0.1906
1,7.7,0.1943
1,7.9,0.1981
1,8.1,0.2021
1,8.3,0.2063
1,8.5,0.2107
1,8.7,0.2152
1,8.9,0.2199
1,9.1,0.2249
1,9.3,0.23
1,9.5,0.2355
1,9.7,0.2411
1,9.9,0.2471
1,10.1,0.2534
1,10.3,0.2599
1,10.5,0.2669
1,10.7,0.2742
1,10.9,0.2819
1,11.1,0.2901
1,11.3,0.2988
1,11.5,0.308
1,11.7,0.3178
1,11.9,0.3282
1,12.1,0.3393
1,12.3,0.3513
1,12.5,0.364
1,12.7,0.3778
1,12.9,0.3926
1,13.1,0.4087
1,13.3,0.4261
1,13.5,0.4451
1,13.7,0.4658
1,13.9,0.4886
1,14.1,0.5137
1,14.3,0.5415
1,14.5,0.5725
1,14.7,0.6073
1,14.9,0.6466
1,15.1,0.6913
1,15.3,0.7426
1,15.5,0.8022
1,15.7,0.8722
1,15.9,0.9557
1,16.1,1.0567
1,16.3,1.1818
1,16.5,1.3404
1,16.7,1.5482
1,16.9,1.8327
1,17.1,2.2456
1,17.3,2.9006
1,17.5,4.1025
1,17.7,7.0778
2,1.1,0.001
2,1.3,0.002
2,1.5,0.0029
2,1.7,0.0039
2,1.9,0.0049
2,2.1,0.0059
2,2.3,0.0069
2,2.5,0.0079
2,2.7,0.0089
2,2.9,0.0099
2,3.1,0.0109
2,3.3,0.0119
2,3.5,0.0129
2,3.7,0.014
2,3.9,0.015
2,4.1,0.016
2,4.3,0.0171
2,4.5,0.0182
2,4.7,0.0193
2,4.9,0.0203
2,5.1,0.0215
2,5.3,0.0226
2,5.5,0.0237
2,5.7,0.0249
2,5.9,0.026
2,6.1,0.0272
2,6.3,0.0284
2,6.5,0.0296
2,6.7,0.0309
2,6.9,0.0322
2,7.1,0.0334
2,7.3,0.0348
2,7.5,0.0361
2,7.7,0.0375
2,7.9,0.0389
2,8.1,0.0403
2,8.3,0.0418
2,8.5,0.0433
2,8.7,0.0448
2,8.9,0.0464
2,9.1,0.048
2,9.3,0.0496
2,9.5,0.0513
2,9.7,0.0531
2,9.9,0.0549
2,10.1,0.0567
2,10.3,0.0586
2,10.5,0.0606
2,10.7,0.0626
2,10.9,0.0647
2,11.1,0.0669
2,11.3,0.0691
2,11.5,0.0714
2,11.7,0.0738
2,11.9,0.0763
2,12.1,0.079
2,12.3,0.0817
2,12.5,0.0845
2,12.7,0.0874
2,12.9,0.0905
2,13.1,0.0937
2,13.3,0.0971
2,13.5,0.1006
2,13.7,0.1044
2,13.9,0.1083
2,14.1,0.1124
2,14.3,0.1167
2,14.5,0.1195
2,14.7,0.1211
2,14.9,0.1226
2,15.1,0.1242
2,15.3,0.1259
2,15.5,0.1276
2,15.7,0.1294
2,15.9,0.1312
2,16.1,0.1331
2,16.3,0.135
2,16.5,0.137
2,16.7,0.139
2,16.9,0.1411
2,17.1,0.1433
2,17.3,0.1455
2,17.5,0.1479
2,17.7,0.1503
2,17.9,0.1528
2,18.1,0.1554
2,18.3,0.158
2,18.5,0.1608
2,18.7,0.1637
2,18.9,0.1667
2,19.1,0.1698
2,19.3,0.1731
2,19.5,0.1765
2,19.7,0.18
2,19.9,0.1837
2,20.1,0.1876
2,20.3,0.1916
2,20.5,0.1958
2,20.7,0.2003
2,20.9,0.205
2,21.1,0.2099
